genes	se_fe_4dp	estimate_fe_4dp	foldc_fe_2dp	upperl_fe_2dp	lowerl_fe_2dp	pval_fe_3sig
APEX2	0.0158	-0.0138	-1.01	1.01	-1.03	0.383
APH1A	0.0227	0.0006	1.00	1.03	-1.03	0.98
APH1B	0.0151	-0.0286	-1.02	1.00	-1.04	0.0593
API5	0.0254	0.0287	1.02	1.06	-1.01	0.259
APIP	0.0284	-0.0106	-1.01	1.03	-1.05	0.709
APITD1	0.0237	-0.0058	-1.00	1.03	-1.04	0.808
APLNR	0.0468	0.0075	1.01	1.07	-1.06	0.872
APLP1	0.0276	-0.0339	-1.02	1.01	-1.06	0.219
APLP2	0.0159	0.0240	1.02	1.04	-1.01	0.134
APMAP	0.0199	0.0055	1.00	1.03	-1.02	0.781
APOA1	0.0244	-0.0087	-1.01	1.03	-1.04	0.721
APOA4	0.0171	-0.0095	-1.01	1.02	-1.03	0.579
APOBEC2	0.0169	-0.0067	-1.00	1.02	-1.03	0.691
APOBEC3C	0.0235	-0.0161	-1.01	1.02	-1.04	0.492
APOBR	0.0184	-0.0087	-1.01	1.02	-1.03	0.639
APOC1	0.0352	-0.0879	-1.06	-1.01	-1.11	0.0131
APOC1P1	0.0197	-0.0387	-1.03	-1.00	-1.06	0.0507
APOD	0.0666	0.0117	1.01	1.10	-1.09	0.86
APOE	0.0544	0.0868	1.06	1.14	-1.01	0.112
APOL1	0.0177	-0.0126	-1.01	1.02	-1.03	0.48
APOL2	0.0191	0.0035	1.00	1.03	-1.02	0.855
APOL3	0.0222	-0.0263	-1.02	1.01	-1.05	0.237
APOL5	0.0144	0.0141	1.01	1.03	-1.01	0.326
APOL6	0.0146	0.0145	1.01	1.03	-1.01	0.321
APOLD1	0.1156	0.0271	1.02	1.19	-1.15	0.815
APOM	0.0170	0.0140	1.01	1.03	-1.01	0.412
APOO	0.0203	-0.0234	-1.02	1.01	-1.04	0.249
APOOL	0.0184	0.0153	1.01	1.04	-1.01	0.407
APP	0.0201	-0.0515	-1.04	-1.01	-1.06	0.0107
APPBP2	0.0212	0.0157	1.01	1.04	-1.02	0.459
APPL1	0.0285	0.0324	1.02	1.06	-1.02	0.258
APPL2	0.0260	0.0321	1.02	1.06	-1.01	0.217
APRT	0.0155	-0.0242	-1.02	1.00	-1.04	0.119
APTX	0.0177	-0.0020	-1.00	1.02	-1.03	0.908
AQP1	0.0719	0.0591	1.04	1.15	-1.06	0.412
AQP2	0.0207	0.0260	1.02	1.05	-1.01	0.211
AQP4	0.0685	0.2015	1.15	1.26	1.05	0.00354
AQP5	0.0176	-0.0048	-1.00	1.02	-1.03	0.783
AQP6	0.0178	-0.0077	-1.01	1.02	-1.03	0.664
AQP8	0.0207	0.0255	1.02	1.05	-1.01	0.22
AQP9	0.0214	-0.0268	-1.02	1.01	-1.05	0.211
AQR	0.0182	0.0264	1.02	1.04	-1.01	0.146
AR	0.0185	0.0073	1.01	1.03	-1.02	0.692
ARAF	0.0161	-0.0039	-1.00	1.02	-1.02	0.811
ARAP1	0.0165	-0.0161	-1.01	1.01	-1.03	0.329
ARAP2	0.0218	-0.0214	-1.01	1.01	-1.05	0.326
ARAP3	0.0203	-0.0058	-1.00	1.02	-1.03	0.776
ARC	0.0726	-0.1082	-1.08	1.02	-1.19	0.137
ARCN1	0.0178	-0.0382	-1.03	-1.00	-1.05	0.0325
ARF1	0.0162	0.0019	1.00	1.02	-1.02	0.909
ARF3	0.0166	-0.0003	-1.00	1.02	-1.02	0.985
ARF4	0.0213	-0.0174	-1.01	1.02	-1.04	0.413
ARF5	0.0175	0.0166	1.01	1.04	-1.01	0.344
ARF6	0.0177	0.0035	1.00	1.03	-1.02	0.845
ARFGAP1	0.0134	0.0140	1.01	1.03	-1.01	0.296
ARFGAP2	0.0164	0.0213	1.01	1.04	-1.01	0.196
ARFGAP3	0.0164	-0.0247	-1.02	1.01	-1.04	0.132
ARFGEF1	0.0181	0.0163	1.01	1.04	-1.01	0.369
ARFGEF2	0.0245	0.0243	1.02	1.05	-1.02	0.322
ARFIP1	0.0218	-0.0005	-1.00	1.03	-1.03	0.982
ARFIP2	0.0171	0.0157	1.01	1.03	-1.01	0.357
ARFRP1	0.0120	-0.0219	-1.02	1.00	-1.03	0.0692
ARG2	0.0237	-0.0205	-1.01	1.02	-1.05	0.388
ARGLU1	0.0252	-0.0086	-1.01	1.03	-1.04	0.734
ARHGAP1	0.0169	0.0002	1.00	1.02	-1.02	0.993
ARHGAP10	0.0171	0.0280	1.02	1.04	-1.00	0.102
ARHGAP12	0.0226	0.0228	1.02	1.05	-1.01	0.313
ARHGAP15	0.0234	0.0008	1.00	1.03	-1.03	0.974
ARHGAP17	0.0145	-0.0209	-1.01	1.01	-1.03	0.149
ARHGAP22	0.0273	-0.0188	-1.01	1.02	-1.05	0.491
ARHGAP24	0.0191	0.0025	1.00	1.03	-1.02	0.895
ARHGAP25	0.0249	-0.0147	-1.01	1.02	-1.05	0.556
ARHGAP29	0.0366	-0.0280	-1.02	1.03	-1.07	0.445
ARHGAP32	0.0341	0.0310	1.02	1.07	-1.03	0.364
ARHGAP33	0.0252	0.0347	1.02	1.06	-1.01	0.169
ARHGAP35	0.0208	0.0117	1.01	1.04	-1.02	0.575
ARHGAP4	0.0144	-0.0103	-1.01	1.01	-1.03	0.472
ARHGAP44	0.0263	-0.0220	-1.02	1.02	-1.05	0.404
ARHGAP5	0.0277	0.0326	1.02	1.06	-1.02	0.24
ARHGDIA	0.0158	-0.0044	-1.00	1.02	-1.02	0.78
ARHGDIB	0.0350	-0.1196	-1.09	-1.04	-1.14	0.000729
ARHGDIG	0.0260	-0.0369	-1.03	1.01	-1.06	0.156
ARHGEF1	0.0130	-0.0286	-1.02	-1.00	-1.04	0.0284
ARHGEF10	0.0265	-0.0191	-1.01	1.02	-1.05	0.472
ARHGEF10L	0.0142	0.0170	1.01	1.03	-1.01	0.231
ARHGEF11	0.0138	-0.0002	-1.00	1.02	-1.02	0.987
ARHGEF12	0.0267	0.0497	1.04	1.07	-1.00	0.064
ARHGEF15	0.0160	-0.0194	-1.01	1.01	-1.04	0.227
ARHGEF16	0.0139	0.0149	1.01	1.03	-1.01	0.285
ARHGEF17	0.0167	0.0160	1.01	1.03	-1.01	0.34
ARHGEF18	0.0175	0.0102	1.01	1.03	-1.02	0.559
ARHGEF2	0.0200	-0.0580	-1.04	-1.01	-1.07	0.00399
ARHGEF28	0.0173	0.0254	1.02	1.04	-1.01	0.143
ARHGEF3	0.0237	0.0100	1.01	1.04	-1.03	0.675
ARHGEF38	0.0158	-0.0056	-1.00	1.02	-1.03	0.723
ARHGEF4	0.0225	0.0059	1.00	1.04	-1.03	0.794
ARHGEF40	0.0219	0.0017	1.00	1.03	-1.03	0.938
ARHGEF5	0.0137	-0.0126	-1.01	1.01	-1.03	0.361
ARHGEF6	0.0187	0.0135	1.01	1.04	-1.02	0.471
ARHGEF7	0.0208	-0.0265	-1.02	1.01	-1.05	0.204
ARHGEF9	0.0191	-0.0243	-1.02	1.01	-1.04	0.204
ARID1A	0.0194	0.0115	1.01	1.03	-1.02	0.554
ARID3B	0.0152	-0.0114	-1.01	1.01	-1.03	0.453
ARID4A	0.0219	0.0046	1.00	1.03	-1.03	0.833
ARID4B	0.0200	0.0113	1.01	1.04	-1.02	0.573
ARID5A	0.0233	0.0281	1.02	1.05	-1.01	0.228
ARID5B	0.0276	0.0186	1.01	1.05	-1.02	0.502
ARIH1	0.0164	0.0014	1.00	1.02	-1.02	0.931
ARIH2	0.0160	-0.0131	-1.01	1.01	-1.03	0.412
ARL1	0.0183	0.0514	1.04	1.06	1.01	0.00538
ARL17A	0.0883	0.0773	1.06	1.19	-1.07	0.383
ARL2	0.0189	0.0292	1.02	1.05	-1.01	0.124
ARL2BP	0.0185	-0.0284	-1.02	1.01	-1.05	0.127
ARL3	0.0246	0.0068	1.00	1.04	-1.03	0.782
ARL4A	0.0273	0.0357	1.03	1.06	-1.01	0.191
ARL4C	0.0305	-0.0433	-1.03	1.01	-1.07	0.158
ARL4D	0.0186	-0.0473	-1.03	-1.01	-1.06	0.0115
ARL5A	0.0281	-0.0342	-1.02	1.01	-1.06	0.224
ARL6IP1	0.0207	0.0242	1.02	1.05	-1.01	0.242
ARL6IP4	0.0247	0.0056	1.00	1.04	-1.03	0.822
ARL6IP5	0.0204	-0.0085	-1.01	1.02	-1.03	0.679
ARL8B	0.0144	-0.0064	-1.00	1.02	-1.02	0.657
ARMC1	0.0200	-0.0097	-1.01	1.02	-1.03	0.627
ARMC6	0.0160	-0.0180	-1.01	1.01	-1.03	0.261
ARMC7	0.0190	-0.0167	-1.01	1.01	-1.04	0.38
ARMC8	0.0188	0.0079	1.01	1.03	-1.02	0.673
ARMC9	0.0184	0.0141	1.01	1.04	-1.02	0.444
ARMCX1	0.0215	-0.0135	-1.01	1.02	-1.04	0.529
ARMCX2	0.0202	-0.0518	-1.04	-1.01	-1.07	0.0111
ARMCX3	0.0304	-0.0890	-1.06	-1.02	-1.11	0.00373
ARMCX4	0.0317	-0.0224	-1.02	1.03	-1.06	0.48
ARMCX5	0.0242	0.0258	1.02	1.05	-1.02	0.287
ARMCX6	0.0203	0.0614	1.04	1.07	1.02	0.00272
ARNT2	0.0249	-0.0089	-1.01	1.03	-1.04	0.721
ARNTL	0.0262	0.0117	1.01	1.04	-1.03	0.657
ARNTL2	0.0309	-0.0393	-1.03	1.01	-1.07	0.206
ARPC1A	0.0134	-0.0103	-1.01	1.01	-1.03	0.442
ARPC1B	0.0288	-0.0866	-1.06	-1.02	-1.10	0.00287
ARPC2	0.0174	-0.0144	-1.01	1.01	-1.03	0.411
ARPC3	0.0195	-0.0212	-1.01	1.01	-1.04	0.279
ARPC4	0.0210	-0.0016	-1.00	1.03	-1.03	0.939
ARPC5	0.0209	-0.0210	-1.01	1.01	-1.04	0.315
ARPC5L	0.0162	-0.0173	-1.01	1.01	-1.03	0.286
ARPP19	0.0231	-0.0175	-1.01	1.02	-1.04	0.45
ARPP21	0.0450	-0.0213	-1.01	1.05	-1.08	0.637
ARR3	0.0213	0.0097	1.01	1.04	-1.02	0.649
ARRB1	0.0155	-0.0022	-1.00	1.02	-1.02	0.887
ARRB2	0.0152	-0.0209	-1.01	1.01	-1.04	0.17
ARSA	0.0140	-0.0049	-1.00	1.02	-1.02	0.727
ARSB	0.0315	0.0120	1.01	1.05	-1.04	0.704
ARSE	0.0146	-0.0154	-1.01	1.01	-1.03	0.29
ARSF	0.0139	0.0069	1.00	1.02	-1.01	0.618
ART1	0.0145	0.0133	1.01	1.03	-1.01	0.36
ART3	0.0336	-0.0091	-1.01	1.04	-1.05	0.788
ART4	0.0359	0.0027	1.00	1.05	-1.05	0.939
ARTN	0.0181	-0.0397	-1.03	-1.00	-1.05	0.0292
ARVCF	0.0136	-0.0163	-1.01	1.01	-1.03	0.232
ASAH1	0.0259	0.0433	1.03	1.07	-1.01	0.0952
ASAP1	0.0214	-0.0090	-1.01	1.02	-1.04	0.676
ASAP1.IT1	0.0187	0.0126	1.01	1.03	-1.02	0.502
ASAP2	0.0307	-0.0502	-1.04	1.01	-1.08	0.104
ASAP3	0.0156	0.0264	1.02	1.04	-1.00	0.0908
ASB1	0.0156	-0.0044	-1.00	1.02	-1.02	0.777
ASB13	0.0198	-0.0080	-1.01	1.02	-1.03	0.687
ASB6	0.0140	0.0485	1.03	1.05	1.01	0.000594
ASB7	0.0176	-0.0345	-1.02	-1.00	-1.05	0.0505
ASB8	0.0166	-0.0082	-1.01	1.02	-1.03	0.621
ASCC1	0.0237	-0.0212	-1.01	1.02	-1.05	0.372
ASCC2	0.0180	0.0003	1.00	1.02	-1.02	0.985
ASCC3	0.0218	0.0405	1.03	1.06	-1.00	0.0645
ASCL1	0.0491	-0.0573	-1.04	1.03	-1.11	0.244
ASCL3	0.0163	0.0048	1.00	1.03	-1.02	0.767
ASF1A	0.0291	0.0994	1.07	1.11	1.03	0.000713
ASF1B	0.0189	-0.0024	-1.00	1.02	-1.03	0.901
ASGR2	0.0143	-0.0141	-1.01	1.01	-1.03	0.324
ASH1L	0.0175	-0.0106	-1.01	1.02	-1.03	0.548
ASH2L	0.0143	0.0049	1.00	1.02	-1.02	0.732
ASIC1	0.0140	-0.0141	-1.01	1.01	-1.03	0.316
ASIC2	0.0187	0.0114	1.01	1.03	-1.02	0.543
ASIC4	0.0151	-0.0054	-1.00	1.02	-1.02	0.723
ASL	0.0233	0.0101	1.01	1.04	-1.02	0.664
ASMTL	0.0450	0.0232	1.02	1.08	-1.05	0.606
ASNA1	0.0218	0.0229	1.02	1.05	-1.01	0.294
ASNS	0.0252	-0.0395	-1.03	1.01	-1.06	0.118
ASNSD1	0.0234	0.0075	1.01	1.04	-1.03	0.747
ASPA	0.0497	-0.0898	-1.06	1.01	-1.14	0.0718
ASPH	0.0436	0.0769	1.05	1.12	-1.01	0.0786
ASPHD1	0.0239	0.0449	1.03	1.07	-1.00	0.0617
ASPSCR1	0.0173	-0.0205	-1.01	1.01	-1.04	0.236
ASRGL1	0.0307	0.0198	1.01	1.06	-1.03	0.52
ASS1	0.0281	0.0256	1.02	1.06	-1.02	0.362
ASTE1	0.0193	-0.0065	-1.00	1.02	-1.03	0.738
ASTN1	0.0194	0.0061	1.00	1.03	-1.02	0.754
ASTN2	0.0217	0.0149	1.01	1.04	-1.02	0.491
ASUN	0.0260	-0.0352	-1.02	1.01	-1.06	0.176
ASXL1	0.0186	-0.0250	-1.02	1.01	-1.04	0.18
ASXL2	0.0264	0.0320	1.02	1.06	-1.01	0.227
ATAD2B	0.0466	-0.0361	-1.03	1.04	-1.09	0.44
ATAD3A	0.0110	-0.0075	-1.01	1.01	-1.02	0.495
ATAD5	0.0307	-0.0058	-1.00	1.04	-1.05	0.851
ATAT1	0.0155	0.0049	1.00	1.02	-1.02	0.754
ATF1	0.0242	-0.0070	-1.00	1.03	-1.04	0.772
ATF2	0.0417	0.0996	1.07	1.13	1.01	0.0176
ATF3	0.0634	-0.0245	-1.02	1.07	-1.11	0.7
ATF4	0.0310	-0.0342	-1.02	1.02	-1.07	0.27
ATF5	0.0180	0.0042	1.00	1.03	-1.02	0.814
ATF6	0.0310	0.0130	1.01	1.05	-1.03	0.675
ATF6B	0.0149	-0.0006	-1.00	1.02	-1.02	0.97
ATF7	0.0274	0.0224	1.02	1.05	-1.02	0.414
ATF7IP	0.0197	-0.0095	-1.01	1.02	-1.03	0.629
ATF7IP2	0.0284	0.0650	1.05	1.09	1.01	0.0229
ATG13	0.0185	0.0322	1.02	1.05	-1.00	0.0832
ATG14	0.0205	-0.0118	-1.01	1.02	-1.04	0.567
ATG2A	0.0192	0.0094	1.01	1.03	-1.02	0.625
ATG2B	0.0331	0.0066	1.00	1.05	-1.04	0.841
ATG3	0.0192	-0.0211	-1.01	1.01	-1.04	0.272
ATG4A	0.0141	0.0070	1.00	1.02	-1.01	0.621
ATG4B	0.0261	0.0068	1.00	1.04	-1.03	0.795
ATG5	0.0177	0.0222	1.02	1.04	-1.01	0.212
ATG7	0.0164	-0.0230	-1.02	1.01	-1.04	0.161
ATG9A	0.0146	0.0000	1.00	1.02	-1.02	0.997
ATHL1	0.0165	-0.0207	-1.01	1.01	-1.04	0.209
ATIC	0.0209	0.0003	1.00	1.03	-1.03	0.989
ATM	0.0167	-0.0221	-1.02	1.01	-1.04	0.186
ATMIN	0.0233	0.0160	1.01	1.04	-1.02	0.494
ATN1	0.0276	0.0073	1.01	1.04	-1.03	0.791
ATOX1	0.0208	-0.0002	-1.00	1.03	-1.03	0.992
ATP10A	0.0315	-0.0106	-1.01	1.04	-1.05	0.738
ATP10B	0.0241	-0.0343	-1.02	1.01	-1.06	0.155
ATP10D	0.0340	0.0208	1.01	1.06	-1.03	0.541
ATP11A	0.0232	0.0107	1.01	1.04	-1.02	0.646
ATP11B	0.0158	0.0320	1.02	1.04	1.00	0.0445
ATP12A	0.0164	-0.0091	-1.01	1.02	-1.03	0.579
ATP13A1	0.0152	-0.0305	-1.02	-1.00	-1.04	0.0461
ATP13A2	0.0203	0.0144	1.01	1.04	-1.02	0.478
ATP13A3	0.0214	0.0100	1.01	1.04	-1.02	0.642
ATP1A1	0.0212	-0.0029	-1.00	1.03	-1.03	0.892
ATP1A2	0.0402	0.0449	1.03	1.09	-1.02	0.265
ATP1A3	0.0499	-0.0159	-1.01	1.06	-1.08	0.751
ATP1B1	0.0553	-0.0801	-1.06	1.02	-1.14	0.149
ATP1B2	0.0381	0.0473	1.03	1.09	-1.02	0.215
ATP1B3	0.0236	-0.0074	-1.01	1.03	-1.04	0.755
ATP2A2	0.0390	-0.0002	-1.00	1.05	-1.05	0.996
ATP2A3	0.0168	-0.0107	-1.01	1.02	-1.03	0.527
ATP2B1	0.0420	-0.0648	-1.05	1.01	-1.11	0.124
ATP2B2	0.0275	-0.0267	-1.02	1.02	-1.06	0.332
ATP2B3	0.0289	0.0307	1.02	1.06	-1.02	0.289
ATP2B4	0.0260	0.0916	1.07	1.10	1.03	0.000481
ATP2C1	0.0255	0.0338	1.02	1.06	-1.01	0.186
ATP2C2	0.0251	-0.0170	-1.01	1.02	-1.05	0.498
ATP4A	0.0232	-0.0125	-1.01	1.02	-1.04	0.592
ATP5A1	0.0197	-0.0135	-1.01	1.02	-1.04	0.495
ATP5B	0.0237	-0.0415	-1.03	1.00	-1.06	0.0808
ATP5C1	0.0169	-0.0141	-1.01	1.01	-1.03	0.404
ATP5D	0.0197	0.0045	1.00	1.03	-1.02	0.82
ATP5F1	0.0183	-0.0187	-1.01	1.01	-1.04	0.307
ATP5G1	0.0187	-0.0178	-1.01	1.01	-1.04	0.341
ATP5G2	0.0183	0.0284	1.02	1.05	-1.01	0.122
ATP5G3	0.0212	-0.0239	-1.02	1.01	-1.05	0.262
ATP5H	0.0187	-0.0055	-1.00	1.02	-1.03	0.77
ATP5I	0.0182	-0.0250	-1.02	1.01	-1.04	0.172
ATP5J	0.0199	-0.0126	-1.01	1.02	-1.04	0.527
ATP5J2	0.0167	-0.0023	-1.00	1.02	-1.02	0.89
ATP5L	0.0165	0.0136	1.01	1.03	-1.01	0.411
ATP5O	0.0191	-0.0013	-1.00	1.03	-1.03	0.946
ATP5S	0.0203	-0.0147	-1.01	1.02	-1.04	0.468
ATP5SL	0.0159	-0.0171	-1.01	1.01	-1.03	0.282
ATP6AP1	0.0173	0.0067	1.00	1.03	-1.02	0.698
ATP6AP2	0.0181	-0.0044	-1.00	1.02	-1.03	0.81
ATP6V0A1	0.0205	0.0075	1.01	1.03	-1.02	0.714
ATP6V0B	0.0190	-0.0252	-1.02	1.01	-1.04	0.185
ATP6V0C	0.0169	-0.0257	-1.02	1.01	-1.04	0.129
ATP6V0D1	0.0193	-0.0269	-1.02	1.01	-1.05	0.165
ATP6V0E1	0.0211	0.0312	1.02	1.05	-1.01	0.139
ATP6V0E2	0.0225	-0.0043	-1.00	1.03	-1.03	0.848
ATP6V1A	0.0171	-0.0136	-1.01	1.01	-1.03	0.426
ATP6V1B2	0.0200	-0.0353	-1.02	1.00	-1.05	0.0793
ATP6V1C1	0.0281	-0.0175	-1.01	1.03	-1.05	0.534
ATP6V1D	0.0158	-0.0069	-1.00	1.02	-1.03	0.664
ATP6V1E1	0.0159	-0.0087	-1.01	1.02	-1.03	0.586
ATP6V1F	0.0152	0.0351	1.02	1.05	1.00	0.0216
ATP6V1G1	0.0247	-0.0105	-1.01	1.03	-1.04	0.669
ATP6V1G2	0.0270	-0.0043	-1.00	1.03	-1.04	0.873
ATP6V1H	0.0268	0.0338	1.02	1.06	-1.01	0.207
ATP7B	0.0183	0.0283	1.02	1.05	-1.01	0.122
ATP8A1	0.0249	0.0088	1.01	1.04	-1.03	0.725
ATP8A2	0.0216	0.0202	1.01	1.04	-1.02	0.35
ATP8B1	0.0490	0.0730	1.05	1.12	-1.02	0.137
ATP8B2	0.0179	-0.0178	-1.01	1.01	-1.04	0.32
ATP9A	0.0179	0.0080	1.01	1.03	-1.02	0.656
ATP9B	0.0226	0.0049	1.00	1.03	-1.03	0.828
ATPAF2	0.0170	0.0095	1.01	1.03	-1.02	0.578
ATPIF1	0.0155	-0.0059	-1.00	1.02	-1.03	0.702
ATR	0.0224	0.0317	1.02	1.05	-1.01	0.157
ATRAID	0.0200	0.0129	1.01	1.04	-1.02	0.519
ATRN	0.0142	-0.0187	-1.01	1.01	-1.03	0.19
ATRNL1	0.0312	0.0416	1.03	1.07	-1.01	0.184
ATRX	0.0178	0.0187	1.01	1.04	-1.01	0.294
ATXN1	0.0211	0.0076	1.01	1.03	-1.02	0.72
ATXN10	0.0201	0.0154	1.01	1.04	-1.02	0.445
ATXN2	0.0184	-0.0275	-1.02	1.01	-1.05	0.137
ATXN2L	0.0155	-0.0250	-1.02	1.00	-1.04	0.107
ATXN3	0.0299	-0.0041	-1.00	1.04	-1.04	0.891
ATXN7	0.0237	-0.0353	-1.02	1.01	-1.06	0.138
ATXN7L3B	0.0129	-0.0068	-1.00	1.01	-1.02	0.597
ATXN8OS	0.0186	-0.0003	-1.00	1.03	-1.03	0.989
AUH	0.0219	-0.0341	-1.02	1.01	-1.05	0.12
AUNIP	0.0142	-0.0113	-1.01	1.01	-1.03	0.427
AUP1	0.0173	-0.0070	-1.00	1.02	-1.03	0.686
AURKAIP1	0.0162	0.0027	1.00	1.02	-1.02	0.868
AURKC	0.0187	-0.0071	-1.00	1.02	-1.03	0.706
AUTS2	0.0227	-0.0066	-1.00	1.03	-1.04	0.77
AVEN	0.0202	-0.0672	-1.05	-1.02	-1.08	0.000973
AVPI1	0.0236	0.0329	1.02	1.06	-1.01	0.164
AVPR1B	0.0133	0.0036	1.00	1.02	-1.02	0.786
AXIN1	0.0138	-0.0098	-1.01	1.01	-1.03	0.478
AXL	0.0393	0.0707	1.05	1.11	-1.00	0.0733
AZIN1	0.0248	0.0185	1.01	1.05	-1.02	0.455
B2M	0.0265	-0.0335	-1.02	1.01	-1.06	0.207
B3GALNT1	0.0281	0.0569	1.04	1.08	1.00	0.0439
B3GALT2	0.0511	-0.0109	-1.01	1.06	-1.08	0.831
B3GALT4	0.0144	-0.0422	-1.03	-1.01	-1.05	0.00357
B3GAT1	0.0250	-0.0119	-1.01	1.03	-1.04	0.636
B3GAT3	0.0142	-0.0016	-1.00	1.02	-1.02	0.908
B3GNT1	0.0193	0.0169	1.01	1.04	-1.01	0.381
B3GNT2	0.0235	-0.0248	-1.02	1.01	-1.05	0.293
B3GNT3	0.0165	-0.0201	-1.01	1.01	-1.04	0.222
B3GNT4	0.0137	-0.0067	-1.00	1.01	-1.02	0.626
B3GNTL1	0.0230	-0.0102	-1.01	1.02	-1.04	0.658
B4GALNT1	0.0186	0.0000	1.00	1.03	-1.03	0.999
B4GALT1	0.0167	0.0161	1.01	1.03	-1.01	0.336
B4GALT2	0.0201	-0.0285	-1.02	1.01	-1.05	0.157
B4GALT3	0.0208	-0.0113	-1.01	1.02	-1.04	0.588
B4GALT4	0.0154	0.0179	1.01	1.03	-1.01	0.246
B4GALT5	0.0219	0.0436	1.03	1.06	1.00	0.0471
B4GALT6	0.0387	0.0381	1.03	1.08	-1.03	0.326
B4GALT7	0.0142	0.0301	1.02	1.04	1.00	0.0349
B9D1	0.0240	-0.0305	-1.02	1.01	-1.06	0.206
B9D2	0.0175	0.0151	1.01	1.03	-1.01	0.386
BAALC	0.0264	0.0161	1.01	1.05	-1.03	0.542
BAAT	0.0153	-0.0107	-1.01	1.01	-1.03	0.486
BABAM1	0.0135	-0.0004	-1.00	1.02	-1.02	0.977
BACE1	0.0216	0.0149	1.01	1.04	-1.02	0.489
BACE2	0.0245	0.0219	1.02	1.05	-1.02	0.37
BACH1	0.0196	0.0372	1.03	1.05	-1.00	0.0588
BACH2	0.0328	0.0196	1.01	1.06	-1.03	0.55
BAD	0.0195	-0.0185	-1.01	1.01	-1.04	0.344
BAG1	0.0220	-0.0056	-1.00	1.03	-1.03	0.8
BAG3	0.0599	0.1623	1.12	1.21	1.03	0.00715
BAG5	0.0245	-0.0147	-1.01	1.02	-1.04	0.548
BAG6	0.0195	0.0155	1.01	1.04	-1.02	0.428
BAHCC1	0.0169	0.0181	1.01	1.04	-1.01	0.284
BAHD1	0.0181	0.0376	1.03	1.05	1.00	0.0394
BAI1	0.0216	0.0308	1.02	1.05	-1.01	0.156
BAI2	0.0213	-0.0103	-1.01	1.02	-1.04	0.629
BAI3	0.0239	0.0242	1.02	1.05	-1.02	0.312
BAIAP2	0.0184	0.0100	1.01	1.03	-1.02	0.585
BAIAP3	0.0321	0.0196	1.01	1.06	-1.03	0.543
BAK1	0.0184	0.0001	1.00	1.03	-1.03	0.997
BAMBI	0.0318	-0.0248	-1.02	1.03	-1.06	0.437
BANF1	0.0228	-0.0026	-1.00	1.03	-1.03	0.909
BANP	0.0371	0.0129	1.01	1.06	-1.04	0.728
BAP1	0.0144	0.0146	1.01	1.03	-1.01	0.311
BARD1	0.0330	0.0451	1.03	1.08	-1.01	0.173
BARX2	0.0149	0.0271	1.02	1.04	-1.00	0.0705
BASP1	0.0114	-0.0024	-1.00	1.01	-1.02	0.836
BATF	0.0180	-0.0120	-1.01	1.02	-1.03	0.507
BATF3	0.0243	-0.0029	-1.00	1.03	-1.04	0.904
BAX	0.0435	-0.0941	-1.07	-1.01	-1.13	0.0328
BAZ1A	0.0457	-0.0593	-1.04	1.02	-1.11	0.197
BAZ1B	0.0177	0.0067	1.00	1.03	-1.02	0.703
BAZ2A	0.0162	0.0123	1.01	1.03	-1.01	0.448
BAZ2B	0.0268	0.0356	1.02	1.06	-1.01	0.186
BBC3	0.0188	0.0123	1.01	1.03	-1.02	0.515
BBIP1	0.0247	-0.0112	-1.01	1.03	-1.04	0.652
BBOX1	0.0479	0.0604	1.04	1.11	-1.02	0.208
BBS1	0.0210	0.0059	1.00	1.03	-1.02	0.779
BBS4	0.0158	0.0256	1.02	1.04	-1.00	0.105
BBS7	0.0430	0.0288	1.02	1.08	-1.04	0.504
BBS9	0.0256	0.0167	1.01	1.05	-1.02	0.515
BBX	0.0383	0.0343	1.02	1.08	-1.03	0.37
BCAM	0.0141	-0.0269	-1.02	1.00	-1.04	0.057
BCAN	0.0232	0.0311	1.02	1.05	-1.01	0.181
BCAP29	0.0287	-0.0218	-1.02	1.02	-1.06	0.448
BCAP31	0.0195	0.0341	1.02	1.05	-1.00	0.0819
BCAS1	0.0721	-0.0556	-1.04	1.06	-1.15	0.441
BCAS2	0.0224	-0.0049	-1.00	1.03	-1.03	0.828
BCAS3	0.0147	0.0153	1.01	1.03	-1.01	0.3
BCAS4	0.0153	0.0255	1.02	1.04	-1.00	0.0961
BCAT2	0.0176	0.0328	1.02	1.05	-1.00	0.0631
BCCIP	0.0210	0.0366	1.03	1.06	-1.00	0.0827
BCHE	0.0387	-0.0088	-1.01	1.05	-1.06	0.821
BCKDHA	0.0113	-0.0192	-1.01	1.00	-1.03	0.0912
BCKDHB	0.0271	0.0337	1.02	1.06	-1.01	0.216
BCKDK	0.0188	-0.0128	-1.01	1.02	-1.04	0.498
BCL10	0.0275	0.0451	1.03	1.07	-1.01	0.102
BCL11A	0.0328	-0.0680	-1.05	-1.00	-1.10	0.0393
BCL11B	0.0262	0.0096	1.01	1.04	-1.03	0.713
BCL2	0.0264	0.0597	1.04	1.08	1.01	0.0245
BCL2A1	0.0326	-0.0406	-1.03	1.02	-1.08	0.214
BCL2L1	0.0157	-0.0085	-1.01	1.02	-1.03	0.591
BCL2L10	0.0278	0.0142	1.01	1.05	-1.03	0.609
BCL2L13	0.0223	0.0154	1.01	1.04	-1.02	0.491
BCL2L14	0.0132	0.0111	1.01	1.03	-1.01	0.4
BCL2L2	0.0192	-0.0024	-1.00	1.02	-1.03	0.9
